code,latitude,longitude,N,size,N_min,N_max
COAHOLD,34.009,-81.04,0.968,2.0,0.032,3.065
COBBJGA,33.908,-84.577,0.0,2.0,0.032,31.467
COCHIAZ,31.433,-109.871,0.0,2.0,0.032,0.3
COCONAZ,35.187,-111.64,0.0,2.0,0.032,1.367
CODCCSP,38.448,-105.156,0.0,2.0,1.0,1.0
COLCASC,34.08,-80.977,,15.0,0.032,39.433
COLLIFL,26.128,-81.765,64.419,3.5,1.065,64.419
COLOMNY,42.249,-73.756,0.0,2.0,0.065,0.071
COLUMFL,30.22,-82.644,0.032,2.0,0.032,0.2
COLUMOR,45.848,-122.819,0.0,2.0,0.032,43.677
COLUMPA,40.998,-76.45,0.0,2.0,0.032,38.29
COMFTFL,25.733,-80.383,0.0,2.0,0.033,4.581
CONCOCA,38.018,-122.133,0.0,2.0,0.032,13.5
CONCOLA,31.597,-91.558,0.0,2.0,0.032,0.032
CONEJCO,37.167,-106.0,0.0,2.0,0.167,3.333
CONHOTX,29.159,-98.175,,15.0,0.323,0.323
CONVEWY,42.76,-105.381,0.0,2.0,0.033,0.233
CONWECA,37.995,-122.354,0.0,2.0,48.387,258.935
COOCONH,44.99,-71.532,0.0,2.0,0.065,0.71
COOSCOR,43.177,-124.186,0.0,2.0,0.033,0.548
COSTACA,33.652,-117.912,,15.0,0.032,4.607
COWJVWA,46.141,-122.92,0.0,2.0,0.033,5.179
COXMEMO,37.149,-93.279,,15.0,0.097,0.323
CPBDCKY,39.089,-84.496,131.355,6.0,10.29,145.161
CPPAPAZ,33.448,-111.989,0.0,2.0,1.065,3.0
CRGHOLD,40.514,-107.545,0.0,2.0,0.032,2.483
CRIHOLD,41.975,-91.669,0.0,2.0,0.032,2.677
CRMCFCA,36.743,-119.784,,15.0,0.032,0.097
CROWGMN,46.357,-94.205,42.194,3.5,0.355,45.677
CRPHOLD,27.796,-97.403,1.452,2.0,0.032,1.821
CRTOSCA,33.884,-118.103,,15.0,0.071,0.071
CRYCCTX,28.747,-99.844,0.0,2.0,0.267,382.867
CSANOLA,31.311,-92.445,0.0,2.0,0.033,0.194
CSCLQTX,28.892,-99.095,0.0,2.0,18.484,127.677
CSCNWWA,47.25,-122.422,1281.548,12.0,192.8,1507.839
CSDHOLD,38.833,-104.817,1.419,2.0,0.032,2.133
CSHEPTX,31.762,-106.485,0.0,2.0,1.667,2.516
CSLLFTX,31.336,-94.741,,15.0,0.067,0.097
CSPHOLD,42.852,-106.324,0.226,2.0,0.032,0.968
CSSCHVA,37.302,-78.404,,15.0,0.065,0.839
CSYJVNY,43.097,-79.054,0.0,2.0,0.032,0.226
CTLAFSL,41.761,-72.683,0.0,2.0,0.033,4.742
CTYORCI,41.323,-72.237,0.0,2.0,0.2,14.867
CULBETX,31.043,-104.831,0.161,2.0,0.032,0.161
CULPEVA,38.474,-77.997,0.065,2.0,0.032,0.067
CUMBEME,43.651,-70.282,43.097,3.5,0.033,76.533
CURRYNM,34.406,-103.206,0.0,2.0,0.032,0.161
CUSTEMT,46.408,-105.845,0.0,2.0,0.194,0.194
CVANXCA,35.668,-119.229,0.032,2.0,0.032,1.0
CVREGVA,38.227,-78.117,0.258,2.0,0.032,3.484
CWHCCMP,15.185,145.747,,15.0,0.097,0.097
DAKOTNE,42.416,-96.42,34.258,3.5,0.065,47.097
DALCOTX,32.777,-96.816,1.0,2.0,0.032,18.9
DALHOLD,32.824,-96.872,64.355,3.5,0.839,141.323
DAUPHPA,40.253,-76.836,0.0,2.0,0.065,0.065
DAVIDTN,36.157,-86.772,0.0,2.0,0.065,62.29
DAVISUT,40.98,-111.905,5.677,2.0,0.6,6.484
DAWSOMT,47.105,-104.716,0.0,2.0,0.065,0.323
DCDOCDC,38.918,-77.032,0.0,2.0,0.032,0.133
DEAPDMI,42.314,-83.2,0.0,2.0,0.033,16.226
DECCSMY,39.333,-75.599,0.0,2.0,0.065,0.194
DEKABGA,33.776,-84.244,0.0,2.0,0.032,0.033
DEKALAL,34.418,-85.773,0.0,2.0,0.032,79.067
DEKALGA,33.776,-84.244,0.0,2.0,0.032,0.742
DELAWPA,39.902,-75.515,0.0,2.0,0.1,7.258
DELTACO,38.74,-108.072,0.0,2.0,0.065,0.071
DENCICO,39.738,-104.991,0.0,2.0,0.065,2.032
DENHOLD,39.784,-104.849,5.774,2.0,0.321,30.774
DENICDF,39.761,-104.849,1413.161,12.0,186.143,1413.161
DENIICO,39.76,-104.849,0.0,2.0,0.258,408.194
DENVECO,39.768,-104.864,0.032,2.0,0.032,4.935
DEPCOGU,13.45,144.803,0.065,2.0,0.065,42.226
DEPYOGU,13.466,144.801,0.0,2.0,0.032,1.0
