detention_facility_code,name,state,start,end,place,type
SANDONM,Sandoval County Det Ctr,NM,39,42,"Bernalillo, NM",Non-dedicated
SANJAIL,Sangamon County Jail,IL,0,146,"Springfield, IL",Federal
SACITCA,Santa Ana City Jail,CA,0,172,"Santa Ana, CA",Non-dedicated
SANANCA,Santa Ana County Jail,CA,0,15,"Santa Ana, CA",Non-dedicated
SAAHOLD,Santa Ana DRO Holdroom,CA,0,197,"Santa Ana, CA",Hold
SBARBCA,Santa Barbara County Jail,CA,106,154,"Santa Barbra, CA",Other
SCNORCA,Santa Clara Co Main Jail,CA,0,86,"San Jose, CA",Federal
SCRUZAZ,Santa Cruz Co Jail AZ,AZ,6,167,"Nogales, AZ",Federal
SFCORNM,Santa Fe Cornell Det. Fac.,NM,41,42,"Santa Fe, NM",Non-dedicated
SANTANM,Santa Fe County Jail,NM,79,82,"Santa Fe, NM",Non-dedicated
SMAHOLD,Santa Maria Sub Office ERO,CA,186,197,"Santa Maria, CA",Other
SROSAFL,Santa Rosa County Jail,FL,196,197,"Milton, FL",Other
SARASFL,Sarasota County Jail,FL,181,197,"SARASOTA, FL",Non-dedicated
SARPYNE,Sarpy County Jail,NE,8,29,"Papillion, NE",Non-dedicated
SARJUNE,Sarpy County Juvenile,NE,0,47,"Papillion, NE",Family / Children
SSMHOLD,Sault Sainte Marie Holdroom,MI,64,151,"Sault Ste. Marie, MI",Hold
SCOTTIA,Scott County Det.Facility,IA,109,112,"Davenport, IA",Federal
SCOTTMO,Scott County Jail,MO,14,67,"Benton, MO",Non-dedicated
SCOTTNE,Scotts Bluff Co Jail,NE,33,185,"Gering, NE",Federal
BOPSET,Seatac Fed.Det.Center,WA,11,196,"Seattle, WA",Federal
SEAHOLD,Seattle Field Office Hold Room,WA,0,197,"Seattle, WA",Hold
SEBASAR,Sebastian County Det Cnt,AR,0,197,"Fort Smith, AR",Federal
SMNOLFL,Seminole County Jail,FL,195,197,"Sanford, FL",Other
SENECOH,Seneca County Jail,OH,0,197,"Tiffin, OH",Non-dedicated
SENECNY,Seneca County Jail,NY,8,68,"Corning, NY",Non-dedicated
STCHOVA,Sentara Careplex Hospital,VA,188,189,"Hampton, VA",Medical
SHNMCTX,Shannon Medical Center,TX,177,178,"San Angelo, TX",Medical
SCVMCCA,Sharp Chula Vista Medical Center,CA,162,197,"Chula Vista, CA",Medical
SHACOKS,Shawnee County Dept Of Corr.,KS,0,134,"Topeka, KS",Non-dedicated
SHAJUKS,Shawnee County Juv.Det.Ctr,KS,1,135,"Topeka, KS",Family / Children
SHECOVA,Shenandoah Co Jail,VA,14,73,"Woodstock, VA",Non-dedicated
SHERBMN,Sherburne County Jail,MN,0,197,"Elk River, MN",Non-dedicated
SHERIWY,Sheridan County Jail,WY,5,6,"Sheridan, WY",Non-dedicated
SHERIMT,Sheridan County Jail,MT,1,78,"Plentywood, MT",Non-dedicated
BOPSHE,Sheridan Fed.Corr.Inst.,OR,115,174,"Sheridan, OR",Federal
VVSHOLD,Shreveport Hold Room,LA,72,197,"Shreveport, LA",Hold
SILERTN,Silverdale/Hamilton County,TN,68,69,"Chattanooga, TN",Non-dedicated
SXCHOLD,Sioux City Hold Room,IA,27,197,"Sioux City, IA",Hold
