detention_facility_code,name,state,type_detailed,start,end,place
VNBRNMI,Van Buren Township PD,MI,IGSA,0,16,"Belleville, MI"
VRK,Varick Street SPC,NY,HOLD,0,151,"New York, NY"
PRVEGAL,Vega Alta Det. Facility,PR,IGSA,0,196,"Vega Alta, PR"
VENTUCA,Ventura County Jail,CA,USMS IGA,7,50,"Ventura, CA"
VENHOLD,Ventura Custody Case,CA,HOLD,0,196,"Camarrillo, CA"
VVGMCCA,Victor Valley Global Med Center,CA,HOSPITAL,77,194,"Victorville, CA"
VICTOTX,Victoria County Jail,TX,IGSA,0,196,"Victoria, TX"
VIRBEVA,Virginia Beach,VA,IGSA,0,107,"Virginia Beach, VA"
VPREGVA,Virginia Peninsula Reg. Jail,VA,USMS IGA,65,131,"Williamsburg, VA"
VISTACA,Vista Detention Facility,CA,IGSA,0,196,"Vista, CA"
WVREGWV,WV Regional Jail & Corr.,WV,IGSA,0,196,"Charleston, WV"
WCCSDCA,Wackenhut Corrections Corp,CA,IGSA,122,123,"San Diego, CA"
WCTHOLD,Waco DRO Hold Room,TX,HOLD,21,196,"Waco, TX"
WAKECNC,Wake County Sheriff Dept.,NC,IGSA,0,123,"Raleigh, NC"
WAKULFL,Wakulla County Jail,FL,IGSA,0,151,"Crawfordville, FL"
WALSHND,Walsh County Jail,ND,IGSA,0,196,"Grafton, ND"
MIWPRPH,Walter Reuther Psychiatric Center,MI,HOSPITAL,62,64,"Westland, MI"
WALWOWI,Walworth County Jail,WI,IGSA,0,196,"Elkhorn, WI"
WARDCND,Ward County Jail,ND,USMS IGA,113,196,"Minot, ND"
WARCOTX,"Ward Cty Jail, Monahans",TX,USMS IGA,0,196,"Monahans, TX"
WASATUT,Wasatch County Jail,UT,IGSA,0,196,"Heber, UT"
WASHAWY,Washakie County Jail,WY,IGSA,0,196,"Worland, WY"
WASHIME,Washington County Jail,ME,IGSA,0,196,"Machias, ME"
WASHIAR,Washington County Jail,AR,USMS IGA,0,196,"Fayetteville, AR"
WASHCUT,Washington County Jail,UT,USMS IGA,0,175,"Hurricane, UT"
WASCONY,Washington County Jail,NY,USMS IGA,0,36,"Fort Edward, NY"
WAJAIMN,Washington County Jail,MN,USMS IGA,102,196,"Stillwater, MN"
WASHICO,Washington County Jail,CO,USMS IGA,0,92,"Akron, CO"
WASHOLD,Washington Field Office,VA,HOLD,0,196,"Fairfax, VA"
WASHONV,Washoe County Jail,NV,USMS IGA,0,196,"Reno, NV"
WASHTMI,"Washtenaw Co, An Arbor,MI",MI,JUVENILE,0,196,"Ann Arbor, MI"
WRMEDWI,Watertown Regional Medical Center,WI,HOSPITAL,0,196,"Waterton, WI"
WAUKEWI,Waukesha County Jail,WI,USMS IGA,163,164,"Waukesha, WI"
